term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),-5.52931506345394e-18,0.02905485692959776,-0.0587983184903743,0.0538385487441521,-0.001751036605256305,-6.940428881280332e-4,0.468,0.532,0,1000
diff_M,-0.566421859872283,0.03952375168646972,-0.640068611437105,-0.490940189168377,-0.5653891247231455,-0.5655702142715496,0,1,0,1000
diff_p1_rateRev,1.14247572671878,0.051476834234475605,1.04355029917804,1.24372862939036,1.141922831448725,1.1416908617422592,1,0,0,1000
diff_p2_rateRev,1.2459051954742,0.052224782638114135,1.14474952665823,1.35486297799453,1.247203972080295,1.2474094728011167,1,0,0,1000
diff_sameParty,0.691320589872714,0.03642934313455644,0.623726373413301,0.766073557277378,0.6909668805935455,0.6926642912022296,1,0,0,1000
weight_M,0.155349065868613,0.009225707290246778,0.136566956163981,0.173587399431442,0.15507711663100598,0.155028480597101,1,0,0,1000
weight_p1,0.31333984349288,0.010581435208127234,0.29222276013613,0.333671350225367,0.31279673616370995,0.31302115074335973,1,0,0,1000
weight_p2,0.34170681251852,0.010244028564065314,0.322425356778367,0.362582317264292,0.341910496319931,0.34201243425292926,1,0,0,1000
weight_party,0.189604278119987,0.008852296541874985,0.172889588837203,0.207900182442475,0.1897812925139315,0.18993793440661003,1,0,0,1000
priceM_p1,0.495784590101589,0.03817137395500431,0.424616558715377,0.571061823796577,0.4947226439132925,0.496137320997304,1,0,0,1000
priceM_p2,0.454626774115584,0.0346962945610798,0.386350730817384,0.525513614548513,0.4535571389714525,0.45400639817777644,1,0,0,1000
priceM_party,0.819333125860714,0.06855001229608261,0.689813434080418,0.963042856987424,0.814191072779724,0.8184894369973409,1,0,0,1000
