term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),2.0885899195842e-17,0.025799111159872167,-0.0522617685623158,0.0470646744843056,-0.00429053899747788,-0.003270589644037297,0.435,0.565,0,1000
diff_M_rate,0.836112236632871,0.04712123590520878,0.739502498118265,0.927079098616195,0.83297361075957,0.8326151932855997,1,0,0,1000
diff_p1_rateRev,1.16102623516263,0.05375490699924709,1.05405579107784,1.26289336178878,1.1600242311242952,1.1595157725253127,1,0,0,1000
diff_p2_rateRev,1.26240375043065,0.054137567443005026,1.16012956513944,1.37219639584989,1.26377867473989,1.2635754907962087,1,0,0,1000
diff_sameParty,0.697992104400495,0.03697380889448102,0.627527887534365,0.775582554519171,0.6990224630744826,0.6993735732352377,1,0,0,1000
weight_M,0.211271000483163,0.009788465472772373,0.191563318158294,0.229734771897246,0.2104990625388565,0.21049716040136873,1,0,0,1000
weight_p1,0.293371109215943,0.01033675692976631,0.273468654183275,0.313450303259575,0.2929205642179675,0.2931627771648042,1,0,0,1000
weight_p2,0.318987441735396,0.009926200192635569,0.300905396571336,0.33905447862256,0.3192001180025515,0.3194784696874887,1,0,0,1000
weight_party,0.176370448565498,0.008513095681290224,0.160141334393917,0.193668478462879,0.176600890369434,0.17686159274633834,1,0,0,1000
priceM_p1,0.720149305252999,0.04823873062631442,0.626100074895196,0.814701187568989,0.7180292442271875,0.719305659660595,1,0,0,1000
priceM_p2,0.662317611419996,0.04329432548729075,0.577207575562875,0.746363228583532,0.6593893126343631,0.6598994422171368,1,0,0,1000
priceM_party,1.19788208399722,0.09043560776316244,1.02075466473858,1.37934448109365,1.1890100473312448,1.1936672487790434,1,0,0,1000
