"","choice_probability","set_alt1","set_al2","alt"
"1",0.439393939393939,1,2,1
"2",0.560606060606061,1,2,2
"3",0.4375,1,3,1
"4",0.5625,1,3,3
"5",0.37037037037037,2,3,2
"6",0.62962962962963,2,3,3
"7",0.565217391304348,1,4,1
"8",0.434782608695652,1,4,4
"9",0.521739130434783,2,4,2
"10",0.478260869565217,2,4,4
"11",0.603448275862069,3,4,3
"12",0.396551724137931,3,4,4
"13",0.402777777777778,1,5,1
"14",0.597222222222222,1,5,5
"15",0.326923076923077,2,5,2
"16",0.673076923076923,2,5,5
"17",0.5,3,5,3
"18",0.5,3,5,5
"19",0.359375,4,5,4
"20",0.640625,4,5,5
"21",0.351851851851852,1,6,1
"22",0.648148148148148,1,6,6
"23",0.378378378378378,2,6,2
"24",0.621621621621622,2,6,6
"25",0.375,3,6,3
"26",0.625,3,6,6
"27",0.365384615384615,4,6,4
"28",0.634615384615385,4,6,6
"29",0.424242424242424,5,6,5
"30",0.575757575757576,5,6,6
"31",0.4,1,7,1
"32",0.6,1,7,7
"33",0.293103448275862,2,7,2
"34",0.706896551724138,2,7,7
"35",0.416666666666667,3,7,3
"36",0.583333333333333,3,7,7
"37",0.5,4,7,4
"38",0.5,4,7,7
"39",0.6,5,7,5
"40",0.4,5,7,7
"41",0.53030303030303,6,7,6
"42",0.46969696969697,6,7,7
"43",0.369565217391304,1,8,1
"44",0.630434782608696,1,8,8
"45",0.4,2,8,2
"46",0.6,2,8,8
"47",0.365384615384615,3,8,3
"48",0.634615384615385,3,8,8
"49",0.347826086956522,4,8,4
"50",0.652173913043478,4,8,8
"51",0.535714285714286,5,8,5
"52",0.464285714285714,5,8,8
"53",0.59375,6,8,6
"54",0.40625,6,8,8
"55",0.461538461538462,7,8,7
"56",0.538461538461538,7,8,8
"57",0.5,1,9,1
"58",0.5,1,9,9
"59",0.409090909090909,2,9,2
"60",0.590909090909091,2,9,9
"61",0.382352941176471,3,9,3
"62",0.61764705882353,3,9,9
"63",0.365384615384615,4,9,4
"64",0.634615384615385,4,9,9
"65",0.466666666666667,5,9,5
"66",0.533333333333333,5,9,9
"67",0.52,6,9,6
