respid,scenario,profile,rate,age_int,age_bin,sex_bin,race_cat,race_bin,educ_cat,educ_bin,lang_cat,lang_bin,trip_cat,trip_bin
2,1,1,5,48,40+,Female,Black,Non-white,High school,Less than college,Low,Poor,No,No violation
2,1,2,5,34,39-,Male,Hispanic,Non-white,2-year college,College or higher,Very low,Poor,"Yes, on a visa",No violation
2,2,1,5,49,40+,Female,Hispanic,Non-white,Graduate degree,College or higher,High,Good,"Yes, unauthorized",Violation
2,2,2,5,36,39-,Female,Hispanic,Non-white,Middle school,Less than college,Very high,Good,"Yes, overstayed visa",Violation
2,3,1,5,33,39-,Female,White,White,2-year college,College or higher,Low,Poor,"Yes, on a visa",No violation
2,3,2,5,29,39-,Female,White,White,4-year college,College or higher,Very low,Poor,No,No violation
2,4,1,3,37,39-,Male,White,White,Elementary school,Less than college,Low,Poor,"Yes, overstayed visa",Violation
2,4,2,6,42,40+,Female,Black,Non-white,2-year college,College or higher,High,Good,"Yes, on a visa",No violation
2,5,1,3,50,40+,Female,Asian,Non-white,Middle school,Less than college,Very low,Poor,"Yes, on a visa",No violation
2,5,2,3,40,40+,Female,Asian,Non-white,Elementary school,Less than college,High,Good,No,No violation
2,6,1,5,27,39-,Female,White,White,High school,Less than college,High,Good,No,No violation
2,6,2,7,35,39-,Female,Black,Non-white,4-year college,College or higher,Very high,Good,No,No violation
2,7,1,3,45,40+,Male,Hispanic,Non-white,Middle school,Less than college,Very low,Poor,"Yes, unauthorized",Violation
2,7,2,4,31,39-,Male,White,White,2-year college,College or higher,Low,Poor,"Yes, unauthorized",Violation
2,8,1,3,50,40+,Male,Hispanic,Non-white,Elementary school,Less than college,Very high,Good,"Yes, overstayed visa",Violation
2,8,2,5,49,40+,Female,White,White,4-year college,College or higher,Very high,Good,"Yes, unauthorized",Violation
2,9,1,5,34,39-,Male,White,White,2-year college,College or higher,Very low,Poor,No,No violation
2,9,2,3,42,40+,Male,Asian,Non-white,Elementary school,Less than college,Low,Poor,"Yes, on a visa",No violation
2,10,1,5,54,40+,Female,Black,Non-white,High school,Less than college,Very high,Good,No,No violation
2,10,2,5,27,39-,Female,Black,Non-white,4-year college,College or higher,Very low,Poor,No,No violation
2,11,1,3,33,39-,Female,White,White,Elementary school,Less than college,High,Good,"Yes, unauthorized",Violation
2,11,2,6,46,40+,Female,White,White,2-year college,College or higher,High,Good,"Yes, on a visa",No violation
2,12,1,3,43,40+,Female,Asian,Non-white,Elementary school,Less than college,High,Good,"Yes, unauthorized",Violation
2,12,2,3,43,40+,Male,Hispanic,Non-white,Middle school,Less than college,Very high,Good,"Yes, unauthorized",Violation
2,13,1,3,55,40+,Female,Asian,Non-white,Elementary school,Less than college,High,Good,"Yes, unauthorized",Violation
2,13,2,2,48,40+,Female,Hispanic,Non-white,Middle school,Less than college,Very low,Poor,"Yes, overstayed visa",Violation
2,14,1,5,55,40+,Male,Asian,Non-white,High school,Less than college,Very high,Good,No,No violation
2,14,2,5,32,39-,Female,Asian,Non-white,Graduate degree,College or higher,High,Good,"Yes, unauthorized",Violation
2,15,1,3,36,39-,Female,Hispanic,Non-white,Middle school,Less than college,Low,Poor,"Yes, on a visa",No violation
2,15,2,2,26,39-,Male,Black,Non-white,Elementary school,Less than college,Very low,Poor,"Yes, unauthorized",Violation
3,1,1,9,33,39-,Male,Hispanic,Non-white,2-year college,College or higher,Very low,Poor,"Yes, on a visa",No violation
3,1,2,5,37,39-,Female,Black,Non-white,High school,Less than college,Very high,Good,"Yes, overstayed visa",Violation
3,2,1,5,43,40+,Female,Asian,Non-white,Middle school,Less than college,High,Good,No,No violation
3,2,2,8,41,40+,Female,Black,Non-white,Graduate degree,College or higher,Low,Poor,No,No violation
3,3,1,5,47,40+,Male,Hispanic,Non-white,Elementary school,Less than college,High,Good,"Yes, overstayed visa",Violation
3,3,2,9,41,40+,Female,Asian,Non-white,4-year college,College or higher,Low,Poor,"Yes, overstayed visa",Violation
3,4,1,4,28,39-,Male,Black,Non-white,2-year college,College or higher,High,Good,"Yes, unauthorized",Violation
3,4,2,8,42,40+,Female,Asian,Non-white,Graduate degree,College or higher,Low,Poor,"Yes, overstayed visa",Violation
3,5,1,4,38,39-,Female,Black,Non-white,Middle school,Less than college,Very low,Poor,"Yes, on a visa",No violation
3,5,2,8,26,39-,Female,Black,Non-white,4-year college,College or higher,High,Good,No,No violation
3,6,1,8,50,40+,Female,Black,Non-white,4-year college,College or higher,Very low,Poor,"Yes, on a visa",No violation
3,6,2,5,33,39-,Male,White,White,4-year college,College or higher,Low,Poor,"Yes, overstayed visa",Violation
3,7,1,9,50,40+,Male,White,White,4-year college,College or higher,Very low,Poor,No,No violation
3,7,2,5,40,40+,Female,Hispanic,Non-white,Middle school,Less than college,Very low,Poor,No,No violation
3,8,1,7,52,40+,Female,White,White,High school,Less than college,Very high,Good,No,No violation
3,8,2,5,42,40+,Female,Hispanic,Non-white,Graduate degree,College or higher,High,Good,"Yes, unauthorized",Violation
3,9,1,8,55,40+,Male,Asian,Non-white,Graduate degree,College or higher,Low,Poor,"Yes, overstayed visa",Violation
3,9,2,4,31,39-,Female,Asian,Non-white,Elementary school,Less than college,Very low,Poor,"Yes, unauthorized",Violation
3,10,1,8,53,40+,Male,Black,Non-white,High school,Less than college,Very low,Poor,"Yes, overstayed visa",Violation
3,10,2,5,32,39-,Male,Hispanic,Non-white,Elementary school,Less than college,Very high,Good,"Yes, unauthorized",Violation
3,11,1,8,26,39-,Female,Black,Non-white,Graduate degree,College or higher,Very low,Poor,"Yes, on a visa",No violation
3,11,2,5,46,40+,Male,Hispanic,Non-white,Middle school,Less than college,Low,Poor,"Yes, unauthorized",Violation
3,12,1,8,43,40+,Female,Asian,Non-white,2-year college,College or higher,High,Good,"Yes, on a visa",No violation
3,12,2,5,30,39-,Female,White,White,Elementary school,Less than college,Very low,Poor,No,No violation
3,13,1,4,28,39-,Male,Asian,Non-white,4-year college,College or higher,Low,Poor,"Yes, unauthorized",Violation
3,13,2,8,41,40+,Female,Black,Non-white,Middle school,Less than college,High,Good,No,No violation
3,14,1,8,51,40+,Female,Black,Non-white,4-year college,College or higher,Very high,Good,No,No violation
3,14,2,4,52,40+,Male,Hispanic,Non-white,Elementary school,Less than college,Very low,Poor,"Yes, on a visa",No violation
3,15,1,6,30,39-,Female,Black,Non-white,Elementary school,Less than college,Very low,Poor,No,No violation
3,15,2,8,49,40+,Female,Asian,Non-white,Middle school,Less than college,High,Good,"Yes, unauthorized",Violation
4,1,1,0,44,40+,Male,White,White,Middle school,Less than college,Very low,Poor,"Yes, unauthorized",Violation
4,1,2,,43,40+,Male,White,White,Graduate degree,College or higher,High,Good,"Yes, overstayed visa",Violation
4,2,1,0,29,39-,Male,Black,Non-white,Elementary school,Less than college,High,Good,"Yes, overstayed visa",Violation
4,2,2,0,40,40+,Male,Asian,Non-white,4-year college,College or higher,Low,Poor,No,No violation
4,3,1,0,31,39-,Male,Black,Non-white,4-year college,College or higher,High,Good,"Yes, on a visa",No violation
4,3,2,0,43,40+,Male,Black,Non-white,Middle school,Less than college,High,Good,"Yes, unauthorized",Violation
4,4,1,1,26,39-,Male,Black,Non-white,Graduate degree,College or higher,Low,Poor,"Yes, unauthorized",Violation
4,4,2,1,52,40+,Female,Hispanic,Non-white,Elementary school,Less than college,Very low,Poor,"Yes, overstayed visa",Violation
4,5,1,2,26,39-,Female,Asian,Non-white,Graduate degree,College or higher,High,Good,"Yes, unauthorized",Violation
4,5,2,2,46,40+,Female,Black,Non-white,Elementary school,Less than college,Low,Poor,"Yes, overstayed visa",Violation
4,6,1,2,29,39-,Female,Hispanic,Non-white,4-year college,College or higher,High,Good,"Yes, overstayed visa",Violation
4,6,2,2,54,40+,Male,Black,Non-white,4-year college,College or higher,Very low,Poor,"Yes, unauthorized",Violation
4,7,1,2,48,40+,Male,Hispanic,Non-white,2-year college,College or higher,Very high,Good,"Yes, unauthorized",Violation
4,7,2,2,39,39-,Male,Asian,Non-white,Graduate degree,College or higher,Very high,Good,"Yes, overstayed visa",Violation
4,8,1,2,39,39-,Male,Hispanic,Non-white,Middle school,Less than college,Very high,Good,"Yes, overstayed visa",Violation
4,8,2,2,54,40+,Female,Black,Non-white,4-year college,College or higher,Very high,Good,"Yes, overstayed visa",Violation
4,9,1,2,27,39-,Male,Asian,Non-white,4-year college,College or higher,Low,Poor,"Yes, unauthorized",Violation
4,9,2,2,44,40+,Female,Black,Non-white,Elementary school,Less than college,Very high,Good,"Yes, unauthorized",Violation
4,10,1,1,50,40+,Female,Asian,Non-white,High school,Less than college,Very high,Good,"Yes, overstayed visa",Violation
4,10,2,1,27,39-,Male,Hispanic,Non-white,Middle school,Less than college,High,Good,"Yes, overstayed visa",Violation
4,11,1,1,48,40+,Female,Hispanic,Non-white,Elementary school,Less than college,Low,Poor,No,No violation
4,11,2,1,31,39-,Male,Hispanic,Non-white,4-year college,College or higher,Low,Poor,"Yes, on a visa",No violation
4,12,1,2,50,40+,Male,Hispanic,Non-white,4-year college,College or higher,Very low,Poor,"Yes, overstayed visa",Violation
4,12,2,2,38,39-,Female,Asian,Non-white,High school,Less than college,Low,Poor,"Yes, overstayed visa",Violation
4,13,1,2,45,40+,Male,Black,Non-white,High school,Less than college,High,Good,"Yes, on a visa",No violation
4,13,2,2,34,39-,Female,Black,Non-white,High school,Less than college,Very high,Good,"Yes, on a visa",No violation
