"v","b","se"
"Age:","",""
"     Older","0.000","0"
"     Young","0.032","0.034"
"a1","",""
"Gender:","",""
"     Male","0.000","0"
"     Female","0.087","0.035"
"a2","",""
"Race/ethnicity:","",""
"     Non-white","0.000","0"
"     White","-0.013","0.042"
"a3","",""
"Education:","",""
"     Less than college","0.000","0"
"     Some college or higher","0.665","0.044"
"a4","",""
"English proficiency:","",""
"     Poor","0.000","0"
"     Good","0.626","0.043"
"a5","",""
"Prior trips to U.S.:","",""
"     Violation","0.000","0"
"     No violation","1.474","0.071"
