                       m1                        m2             
                        b           se            b           se
     Older          0.000            .        0.000            .
     Young          0.033        0.046        0.029        0.048
     Male           0.000            .        0.000            .
     Female         0.082        0.047        0.091        0.050
Non-white           0.000            .        0.000            .
     White         -0.014        0.057       -0.013        0.057
Less than ~e        0.000            .        0.000            .
Some colle~r        0.668        0.053        0.658        0.058
     Poor           0.000            .        0.000            .
     Good           0.638        0.054        0.611        0.056
Violation           0.000            .        0.000            .
No violation        1.439        0.074        1.513        0.083
