                       r1             
                        b           se
m11                -0.064        0.178
m21                 0.178        0.229
m31                -0.016        0.125
m12                 0.086        0.168
m22                -0.284        0.239
m32                -0.004        0.127
m13                -0.108        0.208
m23                 0.410        0.281
m33                 0.213        0.158
m14                 0.164        0.201
m24                -0.382        0.265
m34                -0.025        0.146
m15                 0.061        0.197
m25                 0.253        0.249
m35                 0.196        0.137
m16                 0.108        0.276
m26                 0.007        0.360
m36                 1.023        0.191
