                       r1             
                        b           se
m11                -0.064        0.170
m21                 0.164        0.230
m31                -0.036        0.131
m12                 0.088        0.175
m22                -0.263        0.229
m32                -0.002        0.125
m13                -0.113        0.207
m23                 0.421        0.277
m33                 0.210        0.147
m14                 0.167        0.200
m24                -0.368        0.266
m34                -0.035        0.144
m15                 0.095        0.196
m25                 0.264        0.252
m35                 0.192        0.137
m16                 0.109        0.273
m26                 0.027        0.362
m36                 1.027        0.190
