n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
32,1,1,0.978333,0.959787,0.050860
32,1,2,0.057875,0.052253,0.042851
32,1,3,0.081027,0.077672,0.068454
32,1,4,0.354820,0.346745,0.323326
32,1,5,0.185691,0.172830,0.155403
32,1,6,0.976213,0.972538,0.958243
32,1,7,0.632706,0.630321,0.619376
32,1,8,2.633268,2.630691,2.615042
32,1,9,0.469283,0.466882,0.456746
32,1,10,0.905039,0.902646,0.890653
32,1,11,0.713382,0.710819,0.694548
32,1,12,0.683474,0.680878,0.672321
32,1,13,0.675496,0.671040,0.657086
32,1,14,0.199708,0.197147,0.190461
32,1,15,3.061324,3.058740,3.044205
32,1,16,0.691722,0.689282,0.679320
32,1,17,1.561653,1.559251,1.550772
32,1,18,0.250579,0.247975,0.233632
32,1,19,3.893898,3.891176,3.877938
32,1,20,2.553348,2.550782,2.535116
32,1,21,2.753732,2.751108,2.735630
32,1,22,2.736717,2.733919,2.724593
32,1,23,3.541295,3.538505,3.528650
32,1,24,0.593402,0.590776,0.574237
32,1,25,2.203945,2.198705,2.178652
32,1,26,3.340873,3.338186,3.322633
32,1,27,0.996431,0.993851,0.974962
32,1,28,3.585038,3.582340,3.571255
32,1,29,5.921264,5.918546,5.905039
32,1,30,3.506357,3.503754,3.487164
32,1,31,3.318366,3.315809,3.299186
32,1,32,4.577531,4.574942,4.559797
32,1,33,3.185858,3.183039,3.173483
32,1,34,0.507141,0.504185,0.492438
32,1,35,1.788959,1.786236,1.769805
32,1,36,3.802055,3.799262,3.778961
32,1,37,7.128274,7.125464,7.111836
32,1,38,8.366885,8.364144,8.341834
32,1,39,10.403688,10.400792,10.383331
32,1,40,0.443508,0.440923,0.427482
32,1,41,10.531096,10.528354,10.511966
32,1,42,1.861639,1.858913,1.847239
32,1,43,5.569745,5.567018,5.552126
32,1,44,5.601737,5.598802,5.583234
32,1,45,5.321375,5.318634,5.301770
32,1,46,3.322100,3.319393,3.298247
32,1,47,4.085904,4.083254,4.067280
32,1,48,3.965374,3.962821,3.946294
32,1,49,3.919843,3.917152,3.898094
32,1,50,3.842033,3.839311,3.821829
32,1,51,3.304447,3.301752,3.281690
32,1,52,3.840057,3.837477,3.822805
32,1,53,6.651173,6.648281,6.636001
