"","choice_probability","set_alt1","set_al2","alt"
"1",0.928055555555556,1,20,1
"2",0.0719444444444445,1,20,20
"3",0.895972222222222,2,20,2
"4",0.104027777777778,2,20,20
"5",0.878125,3,20,3
"6",0.121875,3,20,20
"7",0.821944444444444,4,20,4
"8",0.178055555555556,4,20,20
"9",0.767847222222222,5,20,5
"10",0.232152777777778,5,20,20
"11",0.735138888888889,6,20,6
"12",0.264861111111111,6,20,20
"13",0.634791666666667,7,20,7
"14",0.365208333333333,7,20,20
"15",0.504375,8,20,8
"16",0.495625,8,20,20
"17",0.374166666666667,9,20,9
"18",0.625833333333333,9,20,20
"19",0.951458333333333,1,21,1
"20",0.0485416666666667,1,21,21
"21",0.944444444444444,2,21,2
"22",0.0555555555555556,2,21,21
"23",0.916458333333333,3,21,3
"24",0.0835416666666667,3,21,21
"25",0.913402777777778,4,21,4
"26",0.0865972222222223,4,21,21
"27",0.896180555555556,5,21,5
"28",0.103819444444444,5,21,21
"29",0.843958333333333,6,21,6
"30",0.156041666666667,6,21,21
"31",0.816111111111111,7,21,7
"32",0.183888888888889,7,21,21
"33",0.750555555555556,8,21,8
"34",0.249444444444444,8,21,21
"35",0.686458333333333,9,21,9
"36",0.313541666666667,9,21,21
"37",0.61625,10,21,10
"38",0.38375,10,21,21
"39",0.605347222222222,11,21,11
"40",0.394652777777778,11,21,21
"41",0.543402777777778,12,21,12
"42",0.456597222222222,12,21,21
"43",0.514444444444444,13,21,13
"44",0.485555555555556,13,21,21
"45",0.45375,14,21,14
"46",0.54625,14,21,21
"47",0.410833333333333,15,21,15
"48",0.589166666666667,15,21,21
"49",0.310972222222222,16,21,16
"50",0.689027777777778,16,21,21
"51",0.254930555555556,17,21,17
"52",0.745069444444444,17,21,21
"53",0.174930555555556,18,21,18
"54",0.825069444444444,18,21,21
"55",0.103541666666667,19,21,19
"56",0.896458333333333,19,21,21
"57",0.908263888888889,4,22,4
"58",0.0917361111111111,4,22,22
"59",0.876111111111111,5,22,5
"60",0.123888888888889,5,22,22
"61",0.879375,6,22,6
"62",0.120625,6,22,22
"63",0.819513888888889,7,22,7
"64",0.180486111111111,7,22,22
"65",0.837222222222222,8,22,8
"66",0.162777777777778,8,22,22
"67",0.764930555555556,9,22,9
"68",0.235069444444444,9,22,22
"69",0.666597222222222,10,22,10
"70",0.333402777777778,10,22,22
"71",0.651666666666667,11,22,11
"72",0.348333333333333,11,22,22
"73",0.58375,12,22,12
"74",0.41625,12,22,22
"75",0.528472222222222,13,22,13
"76",0.471527777777778,13,22,22
"77",0.488819444444444,14,22,14
"78",0.511180555555556,14,22,22
"79",0.418541666666667,15,22,15
"80",0.581458333333333,15,22,22
"81",0.358402777777778,16,22,16
"82",0.641597222222222,16,22,22
"83",0.328402777777778,17,22,17
"84",0.671597222222222,17,22,22
"85",0.208402777777778,18,22,18
"86",0.791597222222222,18,22,22
"87",0.154583333333333,19,22,19
"88",0.845416666666667,19,22,22
"89",0.875972222222222,7,23,7
"90",0.124027777777778,7,23,23
"91",0.859930555555556,8,23,8
"92",0.140069444444444,8,23,23
"93",0.796736111111111,9,23,9
"94",0.203263888888889,9,23,23
"95",0.752291666666667,10,23,10
"96",0.247708333333333,10,23,23
"97",0.705694444444444,11,23,11
"98",0.294305555555556,11,23,23
"99",0.640625,12,23,12
"100",0.359375,12,23,23
"101",0.578680555555556,13,23,13
"102",0.421319444444444,13,23,23
"103",0.524305555555556,14,23,14
"104",0.475694444444444,14,23,23
"105",0.427430555555556,15,23,15
"106",0.572569444444444,15,23,23
"107",0.395277777777778,16,23,16
"108",0.604722222222222,16,23,23
"109",0.302777777777778,17,23,17
"110",0.697222222222222,17,23,23
"111",0.243680555555556,18,23,18
"112",0.756319444444444,18,23,23
"113",0.197083333333333,19,23,19
"114",0.802916666666667,19,23,23
"115",0.805555555555556,10,24,10
"116",0.194444444444444,10,24,24
"117",0.769930555555556,11,24,11
"118",0.230069444444444,11,24,24
"119",0.696319444444444,12,24,12
"120",0.303680555555556,12,24,24
"121",0.655,13,24,13
"122",0.345,13,24,24
"123",0.555902777777778,14,24,14
"124",0.444097222222222,14,24,24
"125",0.494375,15,24,15
"126",0.505625,15,24,24
"127",0.402222222222222,16,24,16
"128",0.597777777777778,16,24,24
"129",0.384444444444444,17,24,17
"130",0.615555555555556,17,24,24
"131",0.288611111111111,18,24,18
"132",0.711388888888889,18,24,24
"133",0.181944444444444,19,24,19
"134",0.818055555555556,19,24,24
"135",0.758958333333333,13,25,13
"136",0.241041666666667,13,25,25
"137",0.674375,14,25,14
"138",0.325625,14,25,25
"139",0.588194444444444,15,25,15
"140",0.411805555555556,15,25,25
"141",0.518263888888889,16,25,16
"142",0.481736111111111,16,25,25
"143",0.377083333333333,17,25,17
"144",0.622916666666667,17,25,25
"145",0.288611111111111,18,25,18
"146",0.711388888888889,18,25,25
"147",0.193263888888889,19,25,19
"148",0.806736111111111,19,25,25
"149",0.670486111111111,16,26,16
"150",0.329513888888889,16,26,26
"151",0.549375,17,26,17
"152",0.450625,17,26,26
"153",0.371944444444444,18,26,18
"154",0.628055555555556,18,26,26
"155",0.274097222222222,19,26,19
"156",0.725902777777778,19,26,26
"157",0.414722222222222,19,27,19
"158",0.585277777777778,19,27,27
