ee,u.id.otree,id.t,session.id,u.id,task.time,participant.ip_address,alpha,chance_ex1,chance_ex2,chance_ex3,chance_ex4,r.task,n.task,session.code,ProbC1,ProbB1,ProbA1,ProbC2,ProbB2,ProbA2
1,mp47cfbg,aone,1,1,12,10.165.82.149,100,,,,,1,12,xzgxdli3,0.95,0,0.05,0.5,0.5,0
1,mp47cfbg,aone,1,1,11,10.165.82.149,100,,,,,2,4,xzgxdli3,0.9,0,0.1,0.5,0.5,0
1,mp47cfbg,aone,1,1,22,10.165.82.149,100,,,,,3,8,xzgxdli3,0.85,0,0.15,0.5,0.5,0
1,mp47cfbg,aone,1,1,9,10.165.82.149,100,,,,,4,73,xzgxdli3,0.8,0,0.2,0.5,0.5,0
1,mp47cfbg,aone,1,1,26,10.165.82.149,100,,,,,5,24,xzgxdli3,0.75,0,0.25,0.5,0.5,0
1,mp47cfbg,aone,1,1,23,10.165.82.149,0,,,,,6,32,xzgxdli3,0.7,0,0.3,0.5,0.5,0
1,mp47cfbg,aone,1,1,20,10.165.82.149,100,,,,,7,71,xzgxdli3,0.65,0,0.35,0.5,0.5,0
1,mp47cfbg,aone,1,1,13,10.165.82.149,0,,,,,8,49,xzgxdli3,0.6,0,0.4,0.5,0.5,0
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,9,57,xzgxdli3,0.55,0,0.45,0.5,0.5,0
1,mp47cfbg,aone,1,1,10,10.165.82.149,100,,,,,10,77,xzgxdli3,0.95,0,0.05,0,1,0
1,mp47cfbg,aone,1,1,34,10.165.82.149,90,,,,,11,2,xzgxdli3,0.9,0,0.1,0,1,0
1,mp47cfbg,aone,1,1,14,10.165.82.149,91,,,,,12,23,xzgxdli3,0.85,0,0.15,0,1,0
1,mp47cfbg,aone,1,1,13,10.165.82.149,100,,,,,13,43,xzgxdli3,0.8,0,0.2,0,1,0
1,mp47cfbg,aone,1,1,14,10.165.82.149,100,,,,,14,22,xzgxdli3,0.75,0,0.25,0,1,0
1,mp47cfbg,aone,1,1,21,10.165.82.149,100,,,,,15,41,xzgxdli3,0.7,0,0.3,0,1,0
1,mp47cfbg,aone,1,1,22,10.165.82.149,58,,,,,16,11,xzgxdli3,0.65,0,0.35,0,1,0
1,mp47cfbg,aone,1,1,14,10.165.82.149,89,,,,,17,17,xzgxdli3,0.6,0,0.4,0,1,0
