"","V1","V2"
"1",544,5
"2",919,7
"3",2143,0
"4",3105,18
"5",3428,2
"6",4015,24
"7",6507,0
"8",6867,11
"9",9840,13
"10",11532,7
"11",13421,4
"12",15909,8
"13",17007,6
"14",18093,4
"15",18903,13
"16",20359,3
"17",20533,2
"18",22542,4
"19",22559,7
"20",24295,7
"21",12473908,3
"22",12474664,0
"23",12475614,12
"24",12476430,5
"25",12476778,16
"26",12478729,2
"27",12481484,10
"28",12482628,2
"29",12482910,0
"30",12486338,7
"31",12488466,0
"32",12488807,10
"33",12489534,1
"34",12489774,3
"35",12490438,13
"36",12491141,3
"37",12495351,0
"38",12496335,6
"39",12500156,5
"40",12500193,27
"41",1283548,6
"42",1284012,5
"43",1284214,1
"44",1285577,17
"45",1287044,0
"46",1287999,6
"47",1288871,15
"48",1290797,2
"49",1291445,16
"50",1292344,21
"51",1292440,1
"52",1292713,4
"53",1293376,13
"54",1293935,3
"55",1294600,11
"56",1295286,5
"57",1295404,4
"58",1297595,7
"59",1299037,11
"60",1301006,10
"61",12501861,22
"62",12501904,3
"63",12502782,2
"64",12503126,4
"65",12504468,5
"66",12504790,5
"67",12505711,1
"68",12507387,12
"69",12509263,21
"70",12510031,4
"71",12511154,9
"72",12516705,7
"73",12516747,5
"74",12519564,0
"75",12520494,7
"76",12521831,11
"77",12523995,3
"78",12524259,3
"79",12524887,3
"80",12526639,9
"81",12529709,4
"82",12535237,4
"83",12536044,1
"84",12536392,10
"85",12538369,0
"86",12539312,7
"87",12541042,13
"88",12541801,4
"89",12543692,12
"90",12547859,22
"91",12548277,4
"92",12549130,10
"93",12549903,0
"94",12554193,4
"95",12554992,3
"96",12556599,14
"97",12556799,2
"98",12558994,7
"99",12559262,8
"100",12563972,4
"101",12565164,4
"102",12572714,3
"103",12574593,15
"104",12575036,0
"105",12577550,3
"106",12582319,8
"107",12585013,9
"108",12585174,24
"109",12586881,3
"110",12590654,6
"111",12590885,4
"112",12591241,6
"113",12597526,4
"114",12597803,9
"115",12599526,4
"116",12599704,6
"117",12602524,16
"118",12605576,0
"119",12609717,8
"120",12609830,15
"121",12612230,5
"122",12619680,15
"123",12620860,5
"124",12628582,31
"125",12633452,7
"126",12634206,6
"127",12638358,8
"128",12639511,1
"129",12641732,4
"130",12642457,5
"131",12642641,1
"132",12644805,18
"133",12645448,6
"134",12645908,4
"135",12647528,8
"136",12650255,25
"137",12651256,26
"138",12651684,12
"139",12652310,12
"140",12652924,3
"141",84902,2
"142",86175,2
"143",86513,3
"144",86764,2
"145",87637,2
"146",88274,1
"147",88844,0
"148",89663,13
"149",90279,1
"150",91310,5
"151",92151,0
"152",92760,0
"153",93748,6
"154",94369,6
"155",95187,2
"156",95853,0
"157",96280,0
"158",96440,0
"159",96896,3
"160",97040,1
"161",12654525,15
"162",12657232,8
"163",12658349,4
"164",12658842,6
"165",12659430,13
"166",12661898,2
"167",12662126,7
"168",12664862,1
"169",12667504,6
"170",12667970,16
"171",12669922,8
"172",12670809,14
"173",12671167,3
"174",12672282,0
"175",12673699,2
"176",12673813,19
"177",12674253,12
"178",12674976,15
"179",12675283,1
"180",12676439,9
"181",12682644,7
"182",12682944,6
"183",12686743,4
"184",12688908,10
"185",12689370,10
"186",12690413,10
"187",12691781,12
"188",12695174,20
"189",12697115,1
"190",12697910,8
"191",12700087,10
"192",12701905,6
"193",12702454,17
"194",12703418,25
"195",12710107,4
"196",12711793,2
"197",12714621,6
"198",12714885,5
"199",12718370,3
"200",12721589,11
"201",12722651,11
"202",12723109,21
"203",12725942,1
"204",12732152,2
"205",12734393,2
"206",12734592,14
"207",12738819,1
"208",12738869,3
"209",12742582,2
"210",12746048,8
"211",12747325,23
"212",12748490,6
"213",12748941,2
"214",12751685,3
"215",12751800,2
"216",12753700,11
"217",12755189,0
"218",12760105,10
"219",12760652,5
"220",12761127,12
"221",12761808,3
"222",12763973,14
"223",12764787,3
"224",12768588,1
"225",12769796,0
"226",12771656,17
"227",12772248,1
"228",12773001,5
"229",12775396,3
"230",12775793,1
"231",12777051,0
"232",12777985,9
"233",12778838,6
"234",12779047,5
"235",12779304,2
"236",12782960,25
"237",12787493,8
"238",12788455,10
"239",12789238,2
"240",12789637,9
"241",12791086,5
"242",12793594,2
"243",12793983,27
"244",12794848,4
"245",12796031,7
"246",12796661,1
"247",12797217,2
"248",12801870,12
"249",12803375,8
"250",12804345,17
"251",12804367,7
"252",12806481,3
"253",12807283,7
"254",12807290,13
"255",12808170,7
"256",12808547,0
"257",12811975,2
"258",12814227,4
"259",12814929,3
"260",12814983,8
"261",12817012,7
"262",12818007,7
"263",12818903,10
"264",12818915,11
"265",12822626,11
"266",12826488,8
"267",12827178,0
"268",12827965,6
"269",12828342,9
"270",12828866,11
"271",12829587,13
"272",12832108,1
"273",12834492,5
"274",12834561,7
"275",12838052,5
"276",12840161,12
"277",12840630,16
"278",12840891,2
"279",12846208,22
"280",12848041,9
"281",1302325,11
"282",1303469,10
"283",1303520,7
"284",1303767,3
"285",1304398,3
"286",1305188,3
"287",1306984,7
"288",1311616,1
"289",1312706,3
"290",1313399,18
"291",1313641,20
"292",1314505,13
"293",1315622,5
"294",1315769,3
"295",1318985,4
"296",1319705,17
"297",1321699,8
"298",1322733,6
"299",1323560,12
"300",1323668,0
"301",12849214,22
"302",12849677,12
"303",12850462,1
"304",12851778,2
"305",12853562,9
"306",12854738,9
"307",12855143,11
"308",12857096,3
"309",12858949,9
"310",12860912,5
"311",12862184,1
"312",12862358,7
"313",12862473,5
"314",12864257,4
"315",12865048,7
"316",12868542,4
"317",12869321,0
"318",12871219,17
"319",12872898,7
"320",12872918,0
"321",12875820,15
"322",12876377,1
"323",12877247,4
"324",12883681,1
"325",12885059,4
"326",12886245,13
"327",12887411,2
"328",12887945,12
"329",12891165,6
