"","V1","V2"
"1",544,8
"2",919,8
"3",2143,0
"4",3105,154
"5",3428,2
"6",4015,206
"7",6507,0
"8",6867,14
"9",9840,39
"10",11532,17
"11",13421,11
"12",15909,28
"13",17007,55
"14",18093,7
"15",18903,114
"16",20359,4
"17",20533,4
"18",22542,9
"19",22559,16
"20",24295,10
"21",12473908,3
"22",12474664,0
"23",12475614,27
"24",12476430,12
"25",12476778,70
"26",12478729,8
"27",12481484,35
"28",12482628,2
"29",12482910,0
"30",12486338,52
"31",12488466,0
"32",12488807,27
"33",12489534,1
"34",12489774,4
"35",12490438,62
"36",12491141,9
"37",12495351,0
"38",12496335,21
"39",12500156,30
"40",12500193,165
"41",1283548,8
"42",1284012,24
"43",1284214,1
"44",1285577,48
"45",1287044,0
"46",1287999,15
"47",1288871,53
"48",1290797,2
"49",1291445,36
"50",1292344,49
"51",1292440,2
"52",1292713,56
"53",1293376,28
"54",1293935,4
"55",1294600,27
"56",1295286,7
"57",1295404,17
"58",1297595,56
"59",1299037,41
"60",1301006,19
"61",12501861,54
"62",12501904,3
"63",12502782,3
"64",12503126,5
"65",12504468,36
"66",12504790,11
"67",12505711,1
"68",12507387,35
"69",12509263,101
"70",12510031,17
"71",12511154,35
"72",12516705,33
"73",12516747,10
"74",12519564,0
"75",12520494,35
"76",12521831,38
"77",12523995,18
"78",12524259,5
"79",12524887,3
"80",12526639,35
"81",12529709,9
"82",12535237,5
"83",12536044,2
"84",12536392,26
"85",12538369,0
"86",12539312,23
"87",12541042,16
"88",12541801,16
"89",12543692,63
"90",12547859,116
"91",12548277,19
"92",12549130,35
"93",12549903,0
"94",12554193,4
"95",12554992,5
"96",12556599,25
"97",12556799,7
"98",12558994,8
"99",12559262,13
"100",12563972,12
"101",12565164,29
"102",12572714,15
"103",12574593,74
"104",12575036,0
"105",12577550,5
"106",12582319,28
"107",12585013,43
"108",12585174,82
"109",12586881,3
"110",12590654,7
"111",12590885,7
"112",12591241,12
"113",12597526,13
"114",12597803,15
"115",12599526,9
"116",12599704,27
"117",12602524,45
"118",12605576,0
"119",12609717,30
"120",12609830,34
"121",12612230,34
"122",12619680,46
"123",12620860,6
"124",12628582,89
"125",12633452,17
"126",12634206,11
"127",12638358,45
"128",12639511,1
"129",12641732,9
"130",12642457,6
"131",12642641,1
"132",12644805,111
"133",12645448,8
"134",12645908,13
"135",12647528,45
"136",12650255,104
"137",12651256,274
"138",12651684,79
"139",12652310,36
"140",12652924,3
"141",84902,2
"142",86175,2
"143",86513,10
"144",86764,12
"145",87637,2
"146",88274,2
"147",88844,0
"148",89663,72
"149",90279,1
"150",91310,17
"151",92151,0
"152",92760,0
"153",93748,10
"154",94369,11
"155",95187,8
"156",95853,0
"157",96280,0
"158",96440,0
"159",96896,3
"160",97040,1
"161",12654525,84
"162",12657232,12
"163",12658349,5
"164",12658842,22
"165",12659430,53
"166",12661898,7
"167",12662126,48
"168",12664862,2
"169",12667504,22
"170",12667970,69
"171",12669922,52
"172",12670809,41
"173",12671167,6
"174",12672282,0
"175",12673699,7
"176",12673813,39
"177",12674253,36
"178",12674976,76
"179",12675283,1
"180",12676439,37
"181",12682644,33
"182",12682944,10
"183",12686743,4
"184",12688908,47
"185",12689370,55
"186",12690413,45
"187",12691781,110
"188",12695174,57
"189",12697115,2
"190",12697910,67
"191",12700087,14
"192",12701905,13
"193",12702454,69
"194",12703418,47
"195",12710107,8
"196",12711793,21
"197",12714621,32
"198",12714885,11
"199",12718370,3
"200",12721589,31
"201",12722651,28
"202",12723109,105
"203",12725942,1
"204",12732152,11
"205",12734393,13
"206",12734592,44
"207",12738819,1
"208",12738869,12
"209",12742582,3
"210",12746048,22
"211",12747325,142
"212",12748490,25
"213",12748941,3
"214",12751685,13
"215",12751800,5
"216",12753700,60
"217",12755189,0
"218",12760105,15
"219",12760652,22
"220",12761127,25
"221",12761808,9
"222",12763973,54
"223",12764787,4
"224",12768588,1
"225",12769796,0
"226",12771656,76
"227",12772248,1
"228",12773001,16
"229",12775396,6
"230",12775793,1
"231",12777051,0
"232",12777985,37
"233",12778838,14
"234",12779047,18
"235",12779304,3
"236",12782960,165
"237",12787493,37
"238",12788455,34
"239",12789238,5
"240",12789637,18
"241",12791086,15
"242",12793594,3
"243",12793983,70
"244",12794848,7
"245",12796031,11
"246",12796661,1
"247",12797217,3
"248",12801870,43
"249",12803375,23
"250",12804345,45
"251",12804367,33
"252",12806481,5
"253",12807283,11
"254",12807290,110
"255",12808170,14
"256",12808547,0
"257",12811975,3
"258",12814227,4
"259",12814929,3
"260",12814983,13
"261",12817012,19
"262",12818007,16
"263",12818903,22
"264",12818915,32
"265",12822626,42
"266",12826488,38
"267",12827178,0
"268",12827965,16
"269",12828342,32
"270",12828866,38
"271",12829587,74
"272",12832108,2
"273",12834492,16
"274",12834561,12
"275",12838052,41
"276",12840161,23
"277",12840630,42
"278",12840891,2
"279",12846208,87
"280",12848041,29
"281",1302325,145
"282",1303469,26
"283",1303520,15
"284",1303767,17
"285",1304398,7
"286",1305188,9
"287",1306984,21
"288",1311616,1
"289",1312706,12
"290",1313399,37
"291",1313641,84
"292",1314505,29
"293",1315622,7
"294",1315769,9
"295",1318985,14
"296",1319705,55
"297",1321699,28
"298",1322733,6
"299",1323560,24
"300",1323668,0
"301",12849214,119
"302",12849677,62
"303",12850462,1
"304",12851778,4
"305",12853562,14
"306",12854738,40
"307",12855143,57
"308",12857096,5
"309",12858949,15
"310",12860912,17
"311",12862184,1
"312",12862358,37
"313",12862473,12
"314",12864257,21
"315",12865048,12
"316",12868542,14
"317",12869321,0
"318",12871219,48
"319",12872898,16
"320",12872918,0
"321",12875820,67
"322",12876377,1
"323",12877247,12
"324",12883681,1
"325",12885059,21
"326",12886245,113
"327",12887411,3
"328",12887945,28
"329",12891165,15
"330",12896108,64
"331",12897967,26
"332",12899019,17
"333",12899660,41
"334",12902744,192
"335",12904957,2
"336",12911069,57
"337",12913376,2
"338",12915666,75
"339",12917532,3
"340",12917996,9
"341",12921090,20
"342",12922242,67
"343",12924016,20
"344",12924195,17
"345",12924992,22
"346",12927367,133
"347",12928479,47
"348",12930058,33
"349",12931479,31
"350",12931696,29
"351",12933220,10
"352",12936709,2
"353",12939914,26
"354",12942069,3
"355",12946354,43
"356",12946903,17
"357",12949272,4
"358",12949330,9
"359",12951838,84
"360",12953151,20
"361",12956307,16
"362",12958589,19
"363",12959248,5
"364",12960012,24
"365",12961400,27
"366",12961571,40
"367",12961617,1
"368",12962698,12
"369",12963682,8
"370",12967025,21
"371",12967518,18
"372",12968841,33
"373",12969049,9
"374",12978005,20
"375",12978918,1
"376",12981271,1
"377",12983917,144
"378",12985411,69
"379",12986595,26
"380",12987170,9
"381",12988542,103
"382",12989718,18
"383",12990825,61
"384",12994628,39
"385",12999599,32
"386",13000118,30
"387",13000453,8
"388",13002558,12
"389",13004992,1
"390",13005312,46
"391",13005351,1
"392",13005478,7
"393",13011603,0
"394",13019375,33
"395",13020008,11
"396",13025805,1
"397",13026221,48
"398",13027315,1
"399",13027362,23
"400",13027958,10
"401",13030984,2
"402",13031802,55
"403",13033920,20
"404",13035545,62
"405",13035854,2
"406",13040067,1
"407",13041336,58
"408",13042446,35
"409",13044326,74
"410",13045685,77
"411",13048910,6
"412",13049352,49
"413",13051208,44
"414",13051478,21
"415",13057059,69
"416",13062112,0
"417",13066813,14
"418",13069363,22
"419",13078016,15
"420",13079050,44
"421",13081194,1
"422",13081395,118
"423",13085661,7
"424",13086941,32
"425",13087766,0
"426",13090674,25
"427",13091886,12
"428",13096443,8
"429",13098632,21
"430",13099091,3
"431",13100679,58
"432",13103502,10
"433",13103676,8
"434",13103853,3
"435",13104437,66
"436",13105983,0
"437",13107920,5
"438",13108657,9
"439",13108905,14
"440",13112998,24
"441",13113371,44
"442",13114068,6
"443",13114426,64
"444",13114730,0
"445",13116422,70
"446",13116644,16
"447",13117200,15
"448",13117261,39
"449",13119557,6
"450",13120108,138
"451",13121036,13
"452",13123180,2
"453",13125374,28
"454",13125520,34
"455",13125799,14
"456",13127256,17
"457",13128331,19
"458",13129036,4
"459",13130440,16
"460",13131962,29
"461",13132222,34
"462",13135548,20
"463",13136549,6
"464",13140939,6
"465",13142835,10
"466",13142850,2
"467",13143809,1
"468",13147309,94
"469",13148579,14
"470",13149272,18
"471",13150270,49
"472",13151247,46
"473",13151712,7
"474",13153345,3
"475",13153791,45
"476",13157893,74
"477",13158296,4
"478",13158697,389
"479",13159136,64
"480",13163908,2
"481",13164570,4
"482",13166720,2
"483",13166916,8
"484",13173644,27
"485",13176218,2
"486",13179526,16
"487",13180754,24
"488",13181767,0
"489",13182975,16
"490",13185444,7
"491",13185997,12
"492",13186846,13
"493",13188053,23
"494",13188943,8
"495",13189789,0
"496",13192473,2
"497",13193391,17
"498",13200827,22
"499",13201028,1
"500",13204522,3
"501",1323983,8
"502",1325723,15
"503",1327511,8
"504",1328954,75
"505",1330019,15
"506",1331175,7
"507",1331439,52
"508",1332580,46
"509",1333120,46
"510",1334086,50
"511",1334953,7
"512",1335713,2
"513",1335812,3
"514",1337567,0
"515",1337843,0
"516",1338643,188
"517",1340164,22
"518",1340735,81
"519",1341198,101
"520",1341893,44
"521",13204725,12
"522",13204936,151
"523",13206237,8
"524",13207390,5
"525",13210604,8
"526",13211801,27
"527",13213580,11
"528",13213684,11
"529",13213765,0
"530",13215357,60
"531",13219668,27
"532",13219836,12
"533",13221292,0
"534",13223278,1
"535",13223965,31
"536",13225480,20
"537",13227051,47
