choice_probability,set_alt1,set_alt2,alt
0.315880135948103,5,8,5
0.684119864051897,5,8,8
0.43901265068713,7,6,7
0.56098734931287,7,6,6
0.35519867126878,5,4,5
0.64480132873122,5,4,4
0.865149225631758,8,7,8
0.134850774368242,8,7,7
0.160277789976465,8,3,8
0.839722210023535,8,3,3
0.547830067915611,3,5,3
0.452169932084389,3,5,5
0.377020654167628,5,2,5
0.622979345832372,5,2,2
0.343726720298635,2,6,2
0.656273279701365,2,6,6
0.857536589211257,3,4,3
0.142463410788743,3,4,4
0.273254181672489,3,7,3
0.726745818327511,3,7,7
0.961077413047047,1,3,1
0.0389225869529534,1,3,3
0.0161982187169089,7,1,7
0.983801781283091,7,1,1
0.662251319461132,4,1,4
0.337748680538868,4,1,1
0.77264521243325,1,5,1
0.22735478756675,1,5,5
0.697105320969095,6,1,6
0.302894679030905,6,1,1
0.838855533916591,4,6,4
0.161144466083409,4,6,6
0.619053558030349,7,4,7
0.380946441969651,7,4,4
0.494933579134886,7,2,7
0.505066420865114,7,2,2
0.379157067337444,2,3,2
0.620842932662556,2,3,3
0.0747486440157282,2,1,2
0.925251355984272,2,1,1
0.179556087658767,7,5,7
0.820443912341233,7,5,5
0.625120241583303,3,6,3
0.374879758416697,3,6,6
0.0655906635063787,8,1,8
0.934409336493621,8,1,1
0.450933740777533,8,6,8
0.549066259222467,8,6,6
0.746090760162285,4,2,4
0.253909239837715,4,2,2
