choice_probability,set_alt1,set_alt2,alt
0.481168668815775,6,5,6
0.518831331184225,6,5,5
0.421758037566455,1,3,1
0.578241962433545,1,3,3
0.0831979313900149,6,2,6
0.916802068609985,6,2,2
0.789339218971535,1,5,1
0.210660781028465,1,5,5
0.826281465999629,1,6,1
0.173718534000371,1,6,6
0.282594912990057,2,3,2
0.717405087009943,2,3,3
0.815340482278748,2,1,2
0.184659517721252,2,1,1
0.703022738866425,6,7,6
0.296977261133575,6,7,7
0.192058063558833,7,3,7
0.807941936441167,7,3,3
0.148161092689039,5,7,5
0.851838907310961,5,7,7
0.352872483836059,5,4,5
0.647127516163941,5,4,4
0.586373279730896,7,4,7
0.413626720269104,7,4,4
0.629602043688342,1,7,1
0.370397956311658,1,7,7
0.740296035629967,3,6,3
0.259703964370033,3,6,6
0.548970859351886,5,2,5
0.451029140648114,5,2,2
0.760365260022517,5,3,5
0.239634739977483,5,3,3
0.49803031577947,2,7,2
0.50196968422053,2,7,7
0.125234839612845,3,4,3
0.874765160387155,3,4,4
0.580358687756329,2,4,2
0.419641312243671,2,4,4
0.360883582740986,1,4,1
0.639116417259014,1,4,4
0.994674454200478,6,4,6
0.00532554579952249,6,4,4
