n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
32,1,1,0.082600,0.063172,0.050817
32,1,2,0.683180,0.678447,0.661752
32,1,3,3.106242,3.103076,3.092097
32,1,4,1.358820,1.352840,1.312200
32,1,5,1.098936,1.090487,1.061623
32,1,6,1.150422,1.148035,1.138911
32,1,7,1.180586,1.178440,1.143545
32,1,8,4.349341,4.346684,4.331459
32,1,9,22.771646,22.768900,22.750035
32,1,10,20.959367,20.956603,20.918726
32,1,11,16.005544,16.002751,15.986995
32,1,12,34.577388,34.574565,34.552310
32,1,13,136.795891,136.793045,136.767580
32,1,14,47.316533,47.313760,47.277073
32,1,15,19.398793,19.396103,19.370085
32,1,16,135.274109,135.271175,135.241084
32,1,17,132.687959,132.685136,132.652580
32,1,18,31.586190,31.583279,31.552160
32,1,19,158.480750,158.477865,158.447684
32,1,20,231.490096,231.487286,231.450139
32,1,21,1103.572619,1103.569818,1103.529596
32,1,22,346.731768,346.728955,346.695415
32,1,23,1066.693019,1066.690251,1066.614464
32,1,24,1510.378865,1510.376104,1510.346042
32,1,25,285.750639,285.747837,285.700096
32,1,26,389.499398,389.496641,389.464403
32,1,27,909.705444,909.702602,909.666560
32,1,28,1074.564996,1074.562234,1074.525503
32,1,29,1254.887705,1254.884929,1254.853314
32,1,30,2301.624788,2301.621990,2301.579714
32,1,31,2293.234580,2293.231829,2293.184567
32,1,32,2447.381570,2447.378713,2447.335217
32,1,33,2082.104923,2082.101823,2082.058420
32,1,34,1755.944204,1755.941295,1755.899802
32,1,35,1601.107864,1601.105032,1601.060467
32,1,36,994.088064,994.085286,994.050755
32,1,37,2792.749431,2792.746649,2792.704341
32,1,38,2239.550693,2239.547946,2239.514358
32,1,39,1517.716200,1517.713427,1517.666191
32,1,40,2445.522580,2445.519817,2445.477550
32,1,41,2031.036588,2031.033778,2031.003268
32,1,42,2505.464714,2505.461915,2505.419145
32,1,43,2786.446542,2786.443756,2786.406542
32,1,44,2468.804891,2468.802095,2468.762018
32,1,45,2861.491262,2861.488471,2861.456589
32,1,46,2609.583469,2609.580663,2609.552637
32,1,47,2681.642250,2681.639436,2681.601373
32,1,48,1464.656375,1464.653575,1464.570779
32,1,49,2494.387260,2494.384478,2494.335664
32,1,50,3125.791602,3125.788828,3125.748740
32,1,51,3968.321534,3968.318723,3968.269703
32,1,52,2670.416037,2670.413197,2670.352858
32,1,53,5909.115734,5909.112935,5909.066347
