n,seed,n_obs,n_menus,min_menu_size,max_menu_size,method,total_time_s,error,n_iters,n_ip_calls,ip_total_s,ip_mean_s,ip_max_s,status
10,1,90,45,2,2,CG_IP,9.626594959,1.01009866322481,40,40,5.106632751,0.127665818775,2.773030209,ok
10,2,90,45,2,2,CG_IP,2.880329833,1.36487223393624,39,39,2.715836837,0.069636841974359,0.13088075,ok
10,3,90,45,2,2,CG_IP,2.92492775,1.49094960031267,42,42,2.812821545,0.066971941547619,0.084335417,ok
10,4,90,45,2,2,CG_IP,2.531758917,1.03453717417968,39,39,2.43339558,0.0623947584615385,0.094548584,ok
10,5,90,45,2,2,CG_IP,2.237708583,1.09381628042926,37,37,2.146807838,0.0580218334594595,0.075203125,ok
11,1,110,55,2,2,CG_IP,3.383370792,1.32764237498561,47,47,3.274260087,0.0696651082340426,0.107115709,ok
11,2,110,55,2,2,CG_IP,3.031479709,1.92514892507772,44,44,2.945457751,0.0669422216136364,0.089225875,ok
11,3,110,55,2,2,CG_IP,2.725937083,1.64547969493505,43,43,2.640059998,0.0613967441395349,0.076398041,ok
11,4,110,55,2,2,CG_IP,3.528872167,1.36901182830556,49,49,3.431117374,0.0700228035510204,0.087536292,ok
11,5,110,55,2,2,CG_IP,3.962164375,0.808454487506244,53,53,3.850468412,0.0726503473962264,0.091521709,ok
12,1,132,66,2,2,CG_IP,6.284287833,2.11599457415108,61,61,6.157733249,0.100946446704918,0.177029458,ok
12,2,132,66,2,2,CG_IP,5.883773625,1.55246525757501,71,71,5.725377417,0.0806391185492958,0.14270175,ok
12,3,132,66,2,2,CG_IP,6.050660125,1.84174495901387,63,63,5.92515225,0.0940500357142857,0.139334958,ok
12,4,132,66,2,2,CG_IP,4.460545042,1.71441415405016,61,61,4.335996046,0.0710819023934426,0.101805333,ok
12,5,132,66,2,2,CG_IP,5.302022792,1.52267868995033,59,59,5.170583459,0.087637007779661,0.141173834,ok
13,1,156,78,2,2,CG_IP,8.193720625,2.80429496531908,71,71,8.038779247,0.113222242915493,0.215587625,ok
13,2,156,78,2,2,CG_IP,6.66675925,2.07282471667721,67,67,6.522493376,0.0973506474029851,0.199072458,ok
13,3,156,78,2,2,CG_IP,6.513302333,2.21851559890896,70,70,6.36381962,0.0909117088571429,0.14253325,ok
13,4,156,78,2,2,CG_IP,5.300916291,2.70011845181652,56,56,5.182799165,0.0925499850892857,0.154931667,ok
13,5,156,78,2,2,CG_IP,8.8523525,2.21337045978479,93,93,8.629161915,0.0927866872580645,0.164863666,ok
14,1,182,91,2,2,CG_IP,12.0886975,3.27938293069889,79,79,11.92705633,0.150975396582278,0.271283,ok
14,2,182,91,2,2,CG_IP,9.887799375,2.90506399733861,79,79,9.723408581,0.123081121278481,0.227367958,ok
14,3,182,91,2,2,CG_IP,11.301702083,3.50187895444306,81,81,11.118963711,0.137271156925926,0.248941958,ok
14,4,182,91,2,2,CG_IP,11.462334334,1.86345665775527,90,90,11.25482029,0.125053558777778,0.235878833,ok
14,5,182,91,2,2,CG_IP,15.866639084,3.29048943692806,90,90,15.659246635,0.173991629277778,0.31298425,ok
15,1,210,105,2,2,CG_IP,17.93880325,4.94130968204272,77,77,17.771805501,0.230802668844156,0.456080875,ok
15,2,210,105,2,2,CG_IP,14.833042833,3.02048317484977,100,100,14.587100419,0.14587100419,0.276498958,ok
15,3,210,105,2,2,CG_IP,16.147096459,3.46493041737527,95,95,15.92479367,0.167629407052632,0.308774875,ok
15,4,210,105,2,2,CG_IP,21.667080916,2.47051730125751,111,111,21.378081375,0.192595327702703,0.380292542,ok
