"n","n_iters","n_seeds","mean_s","p10_s","p25_s","p50_s","p75_s","p90_s"
15,335,5,0.11319156119403,0.0117024,0.020811,0.063024,0.208531,0.2626922
16,347,5,0.190377648414986,0.015647,0.040453,0.22969,0.304268,0.3380666
17,352,5,0.243011835227273,0.0199857,0.0528355,0.26207,0.385356,0.4737874
18,397,5,0.298582740554156,0.0280336,0.09202,0.341207,0.426685,0.5306856
19,411,5,0.473817669099757,0.02709,0.171244,0.448406,0.7008905,0.945424
20,450,5,0.764612428888889,0.0505632,0.28627175,0.6439095,1.13782575,1.508535
21,471,5,1.30335186624204,0.114719,0.384045,1.001416,1.9634935,3.031702
22,475,5,2.6059161431579,0.1970774,0.7518025,1.817915,4.2127035,6.1168724
23,497,5,5.91028667404427,0.2743754,1.097241,3.507044,8.775563,14.9667894
24,533,5,11.3345139155722,0.4305136,1.295571,7.077134,18.95272,28.7596762
25,542,5,25.3007448616236,0.670637,2.892956,16.9996145,44.45546175,63.4419053
26,573,5,58.1738568150087,1.1196388,4.908099,41.29099,77.221023,181.0444644
27,583,5,125.879444941681,1.5835958,11.57687,79.21943,230.7659655,310.8288322
28,356,3,237.60634986236,2.6327655,21.49675875,136.274792,443.89979,531.0416055
29,103,1,808.49315184466,3.6910648,29.280896,721.188541,1367.128303,1966.362807
30,104,1,784.491175365385,4.7842178,128.65039975,664.798019,1234.46695675,1935.8555024
31,96,1,878.79824228125,10.324702,48.53967575,881.667352,1486.34145575,1845.679389
32,63,1,1282.17082525397,3.9555586,82.1376445,1284.741678,1811.806587,2896.9564044
33,54,1,1538.45730338889,4.8722784,81.61415075,857.4397505,2696.60132375,4091.8895094
34,43,1,1964.42541839535,10.1731508,46.724448,663.57223,3258.1197545,5290.9294684
35,35,1,2252.29812911429,5.2320828,58.6780425,593.452893,3717.113364,6747.0596952
36,26,1,2616.25584253846,8.343666,21.7156995,1038.6763195,4415.71462525,6527.5043525
37,23,1,2628.49563882609,10.9207134,64.6021755,518.294179,5357.711684,7091.9808368
38,16,1,4585.328506625,14.226908,35.1853375,270.2063295,6087.8666655,17719.8169215
39,14,1,4660.60869835714,6.6052359,18.50501975,520.4295065,3152.285229,13159.7925801
40,14,1,4225.19426628571,22.1452121,29.32078375,402.842216,5860.64880525,13158.3407242
41,12,1,2680.67278275,34.20247,107.43176125,833.8641815,1936.38346025,7737.60521
42,11,1,5681.87843963636,30.302251,902.98478,2167.840505,10625.6235465,13886.560614
43,9,1,1865.31691333333,41.3590066,179.760496,502.101852,2812.617373,4788.0188786
44,10,1,3035.2749424,46.1706568,430.34254675,969.2031635,1637.223992,8332.927226
45,7,1,3712.31939528571,129.4063712,309.231682,415.368337,5390.6874345,11799.6357148
46,6,1,8455.98908166667,44.045204,102.83805875,585.778646,11616.50438225,24738.143395
47,6,1,6287.13678216667,278.225256,565.27774025,1085.4215,9971.11947125,17497.7635905
48,2,1,10592.696719,2118.7986094,5296.5104005,10592.696719,15888.8830375,19066.5948286
49,1,1,0.298347,0.298347,0.298347,0.298347,0.298347,0.298347
50,1,1,0.338385,0.338385,0.338385,0.338385,0.338385,0.338385
