"n","mean_total_s","min_total_s","max_total_s","n_seeds"
15,8.1177474,4.404277,12.653497,5
16,13.9986578,12.347454,17.001399,5
17,18.0370478,12.930138,24.911244,5
18,24.381811,19.737739,31.563535,5
19,39.6425312,29.366109,48.096932,5
20,69.5233246,50.977264,84.36675,5
21,123.5684832,91.665382,172.173726,5
22,248.8262452,198.241425,291.894359,5
23,589.3137962,324.246818,849.96388,5
24,1209.7398122,856.654106,1754.972487,5
25,2746.1205258,1978.861984,3285.561537,5
26,6672.3368326,2322.849711,9198.363996,5
27,14682.1017274,9518.268946,25903.635467,5
28,34494.8978235,29592.501451,39397.294196,2
