n,seed,weight,method,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
8,1,1.00,CG_IP,1,1.172650,1.151503,0.007458
8,1,1.00,CG_IP,2,0.019299,0.015090,0.001572
8,1,1.00,CG_IP,3,0.016365,0.014910,0.002460
8,1,1.00,CG_IP,4,0.019053,0.015009,0.002259
8,1,1.00,CG_IP,5,0.024653,0.015258,0.002172
8,1,1.00,CG_IP,6,0.016705,0.015028,0.002573
8,1,1.00,CG_IP,7,0.015268,0.014881,0.002225
8,1,1.00,CG_IP,8,0.015232,0.014859,0.002167
8,1,1.00,CG_IP,9,0.015507,0.015010,0.002114
8,1,1.00,CG_IP,10,0.015323,0.014946,0.002677
8,1,1.00,CG_IP,11,0.015298,0.014923,0.002228
8,1,1.00,CG_IP,12,0.015374,0.014741,0.002551
8,1,1.00,CG_IP,13,0.015226,0.014856,0.002274
8,1,1.00,CG_IP,14,0.015038,0.014671,0.002149
8,1,1.00,CG_IP,15,0.015154,0.014763,0.002107
8,1,1.00,CG_IP,16,0.015058,0.014694,0.002319
8,1,1.00,CG_IP,17,0.015599,0.015159,0.002469
8,1,1.00,CG_IP,18,0.016400,0.015642,0.002331
8,1,1.00,CG_IP,19,0.013551,0.012971,0.008531
8,1,1.00,CG_IP,20,0.014143,0.013772,0.002520
8,1,1.00,CG_IP,21,0.013357,0.012956,0.002654
8,1,1.00,CG_IP,22,0.015720,0.014617,0.002597
8,1,1.00,CG_IP,23,0.013442,0.012974,0.002131
8,1,1.00,CG_IP,24,0.015360,0.014977,0.002249
8,1,1.00,CG_IP,25,0.015180,0.014809,0.002234
8,1,1.00,CG_heur_IPverify,1,0.021720,0.015023,0.002385
8,1,0.90,CG_IP,1,0.023383,0.015181,0.002256
8,1,0.90,CG_IP,2,0.016450,0.014960,0.002315
8,1,0.90,CG_IP,3,0.015478,0.014904,0.002157
8,1,0.90,CG_IP,4,0.015190,0.014779,0.003082
8,1,0.90,CG_IP,5,0.015083,0.014694,0.002288
8,1,0.90,CG_IP,6,0.015295,0.014918,0.002226
8,1,0.90,CG_IP,7,0.014580,0.014217,0.002238
8,1,0.90,CG_IP,8,0.013595,0.013197,0.002064
8,1,0.90,CG_IP,9,0.015181,0.014742,0.002185
8,1,0.90,CG_IP,10,0.015384,0.014999,0.002293
8,1,0.90,CG_IP,11,0.018195,0.016613,0.002491
8,1,0.90,CG_IP,12,0.015697,0.014985,0.002618
8,1,0.90,CG_IP,13,0.015483,0.014917,0.002437
8,1,0.90,CG_IP,14,0.015703,0.014854,0.002316
8,1,0.90,CG_IP,15,0.015455,0.015063,0.002433
8,1,0.90,CG_IP,16,0.015539,0.014960,0.002313
8,1,0.90,CG_IP,17,0.015456,0.015016,0.002223
8,1,0.90,CG_IP,18,0.015296,0.014832,0.002212
8,1,0.90,CG_IP,19,0.015096,0.014715,0.002666
