n,seed,weight_inside,method,n_obs,n_menus,min_menu_size,max_menu_size,total_time_s,error,n_iters,n_ip_calls,ip_build_s,ip_total_s,ip_mean_s,ip_max_s,ip_solve_total_s,ip_solve_mean_s,ip_solve_max_s,ip_gurobi_total_s,status,hostname,cpu_model,n_logical_cores
8,1,1,CG_IP,56,28,2,2,9.551553167,2.31786978919436e-07,25,25,0.054154625,1.553956086,0.06215824344,1.172649792,1.503019833,0.06012079332,1.151503459,0.0690200328826904,ok,Haoges-iMac.local,Apple M1,8
8,1,1,CG_heur_IPverify,56,28,2,2,0.386904,2.12570184481228e-07,16,1,0.013962125,0.021719791,0.021719791,0.021719791,0.015023166,0.015023166,0.015023166,0.00238490104675293,ok,Haoges-iMac.local,Apple M1,8
8,1,0.9,CG_IP,56,28,2,2,0.4569595,1.65436385911531e-07,24,24,0.002977709,0.378617788,0.0157757411666667,0.023383292,0.356602251,0.014858427125,0.016613084,0.0565736293792725,ok,Haoges-iMac.local,Apple M1,8
8,1,0.9,CG_heur_IPverify,56,28,2,2,0.057179708,5.11231056530449e-07,16,1,0.001416916,0.014614125,0.014614125,0.014614125,0.013865292,0.013865292,0.013865292,0.00234603881835938,ok,Haoges-iMac.local,Apple M1,8
8,1,0.8,CG_IP,56,28,2,2,0.47956275,8.98867433665028e-08,24,24,0.012800166,0.373200003,0.015550000125,0.022135709,0.35838333,0.01493263875,0.016618125,0.0587563514709473,ok,Haoges-iMac.local,Apple M1,8
8,1,0.8,CG_heur_IPverify,56,28,2,2,0.054610917,1.36808948575626e-10,13,1,0.002545125,0.016166792,0.016166792,0.016166792,0.0154395,0.0154395,0.0154395,0.00237298011779785,ok,Haoges-iMac.local,Apple M1,8
8,1,0.7,CG_IP,56,28,2,2,0.437065792,4.14461358709997e-07,24,24,0.000662208,0.368624998,0.0153593749166667,0.017572,0.35744313,0.01489346375,0.016606459,0.0662522315979004,ok,Haoges-iMac.local,Apple M1,8
8,1,0.7,CG_heur_IPverify,56,28,2,2,0.064265708,1.61848485920554e-08,14,1,0.00073975,0.014824958,0.014824958,0.014824958,0.013963625,0.013963625,0.013963625,0.00233316421508789,ok,Haoges-iMac.local,Apple M1,8
8,1,0.6,CG_IP,56,28,2,2,0.546999334,4.87063514638876e-07,31,31,0.001539542,0.467418665,0.0150780214516129,0.015677625,0.455466874,0.0146924798064516,0.015282125,0.0726089477539062,ok,Haoges-iMac.local,Apple M1,8
8,1,0.6,CG_heur_IPverify,56,28,2,2,0.066867208,6.86879760756566e-11,19,1,0.001054,0.017065833,0.017065833,0.017065833,0.014949541,0.014949541,0.014949541,0.0023190975189209,ok,Haoges-iMac.local,Apple M1,8
8,1,0.5,CG_IP,56,28,2,2,0.586048625,0.0031547693072069,33,33,0.000657417,0.503926628,0.0152705038787879,0.018411709,0.490101499,0.0148515605757576,0.018005167,0.0778450965881348,ok,Haoges-iMac.local,Apple M1,8
8,1,0.5,CG_heur_IPverify,56,28,2,2,0.080178375,0.00315476937750063,17,2,0.000695,0.032391666,0.016195833,0.01665225,0.029860917,0.0149304585,0.014956209,0.00430488586425781,ok,Haoges-iMac.local,Apple M1,8
8,1,0.4,CG_IP,56,28,2,2,0.547957542,0.029891014609573,31,31,0.000598459,0.471769375,0.0152183669354839,0.018918833,0.458842335,0.0148013656451613,0.0180445,0.0731534957885742,ok,Haoges-iMac.local,Apple M1,8
8,1,0.4,CG_heur_IPverify,56,28,2,2,0.112600333,0.0298910139537517,21,3,0.000575542,0.047014959,0.015671653,0.016304791,0.04459675,0.0148655833333333,0.015058292,0.00852775573730469,ok,Haoges-iMac.local,Apple M1,8
8,1,0.3,CG_IP,56,28,2,2,0.476254958,0.0903329619532817,27,27,0.000614916,0.405363832,0.0150134752592593,0.015764333,0.395071582,0.0146322808148148,0.015394416,0.0598702430725098,ok,Haoges-iMac.local,Apple M1,8
8,1,0.3,CG_heur_IPverify,56,28,2,2,0.105076875,0.0903329612883125,22,3,0.000596208,0.04686046,0.0156201533333333,0.015859209,0.045358832,0.0151196106666667,0.015128833,0.0072028636932373,ok,Haoges-iMac.local,Apple M1,8
8,1,0.2,CG_IP,56,28,2,2,0.41906725,0.189854875629282,23,23,0.000729333,0.355943878,0.0154758207826087,0.022133667,0.346532253,0.0150666196956522,0.021347375,0.0552799701690674,ok,Haoges-iMac.local,Apple M1,8
8,1,0.2,CG_heur_IPverify,56,28,2,2,0.058275333,0.189854004377309,12,2,0.000651375,0.030816042,0.015408021,0.015536083,0.030049167,0.0150245835,0.01514625,0.0040738582611084,ok,Haoges-iMac.local,Apple M1,8
8,1,0.1,CG_IP,56,28,2,2,0.426125333,0.329079704699097,24,24,0.000624,0.368158169,0.0153399237083333,0.015562542,0.358991793,0.014957991375,0.015179125,0.0536868572235107,ok,Haoges-iMac.local,Apple M1,8
8,1,0.1,CG_heur_IPverify,56,28,2,2,0.152439042,0.329075155951892,18,7,0.000594208,0.105732957,0.0151047081428571,0.016298458,0.102380709,0.0146258155714286,0.015419209,0.0166559219360352,ok,Haoges-iMac.local,Apple M1,8
8,1,0,CG_IP,56,28,2,2,0.411327209,0.511313702605281,23,23,0.000618083,0.348735415,0.0151624093478261,0.016522625,0.339686708,0.0147689873043478,0.0160545,0.0541937351226807,ok,Haoges-iMac.local,Apple M1,8
8,1,0,CG_heur_IPverify,56,28,2,2,0.188751458,0.511307280589139,17,9,0.000605,0.140465168,0.0156072408888889,0.016884,0.136396582,0.0151551757777778,0.016035,0.0227742195129395,ok,Haoges-iMac.local,Apple M1,8
8,2,1,CG_IP,56,28,2,2,0.411207458,5.24390350235618e-07,24,24,0.000648875,0.353913372,0.0147463905,0.015631208,0.344577124,0.0143573801666667,0.015240042,0.0550971031188965,ok,Haoges-iMac.local,Apple M1,8
8,2,1,CG_heur_IPverify,56,28,2,2,0.071182792,1.64256402706351e-08,21,1,0.000774042,0.020836084,0.020836084,0.020836084,0.020025375,0.020025375,0.020025375,0.00481581687927246,ok,Haoges-iMac.local,Apple M1,8
8,2,0.9,CG_IP,56,28,2,2,0.52093875,2.8494913652948e-07,29,29,0.000637041,0.441542793,0.0152256135517241,0.016691083,0.429810461,0.0148210503793103,0.016315,0.0737166404724121,ok,Haoges-iMac.local,Apple M1,8
8,2,0.9,CG_heur_IPverify,56,28,2,2,0.045288958,5.01660340592928e-07,16,1,0.000637167,0.015249625,0.015249625,0.015249625,0.014888542,0.014888542,0.014888542,0.00217795372009277,ok,Haoges-iMac.local,Apple M1,8
8,2,0.8,CG_IP,56,28,2,2,0.541769208,0.000213828521611312,31,31,0.000597334,0.461179584,0.0148767607741936,0.017336708,0.448198251,0.0144580080967742,0.016906917,0.0768990516662598,ok,Haoges-iMac.local,Apple M1,8
8,2,0.8,CG_heur_IPverify,56,28,2,2,0.057878917,0.000213831283271508,22,1,0.000544875,0.014725333,0.014725333,0.014725333,0.014312209,0.014312209,0.014312209,0.00237298011779785,ok,Haoges-iMac.local,Apple M1,8
8,2,0.7,CG_IP,56,28,2,2,0.575983833,0.00491537682917718,33,33,0.00064125,0.493854374,0.0149652840606061,0.016023708,0.480904168,0.0145728535757576,0.015626667,0.0749802589416504,ok,Haoges-iMac.local,Apple M1,8
8,2,0.7,CG_heur_IPverify,56,28,2,2,0.071025542,0.00491537688589836,20,1,0.000633292,0.015361959,0.015361959,0.015361959,0.01494025,0.01494025,0.01494025,0.00166988372802734,ok,Haoges-iMac.local,Apple M1,8
8,2,0.6,CG_IP,56,28,2,2,0.504907459,0.0157745136802673,29,29,0.00063075,0.433822961,0.0149594124482759,0.015738792,0.421392502,0.0145307759310345,0.015339917,0.0659291744232178,ok,Haoges-iMac.local,Apple M1,8
8,2,0.6,CG_heur_IPverify,56,28,2,2,0.065863333,0.0157745109340924,17,2,0.000590875,0.030990958,0.015495479,0.015654458,0.030184709,0.0150923545,0.015252292,0.00391197204589844,ok,Haoges-iMac.local,Apple M1,8
8,2,0.5,CG_IP,56,28,2,2,0.541374208,0.0355394817673253,31,31,0.000578292,0.465832413,0.0150268520322581,0.015843084,0.45352025,0.014629685483871,0.015486625,0.0695192813873291,ok,Haoges-iMac.local,Apple M1,8
8,2,0.5,CG_heur_IPverify,56,28,2,2,0.153215042,0.0355395032876912,23,6,0.00120425,0.08835071,0.0147251183333333,0.015932459,0.08588325,0.014313875,0.015546917,0.0134017467498779,ok,Haoges-iMac.local,Apple M1,8
8,2,0.4,CG_IP,56,28,2,2,0.474378458,0.0857382588523111,27,27,0.000569542,0.408509875,0.0151299953703704,0.016166209,0.398147791,0.0147462144814815,0.015790125,0.0643036365509033,ok,Haoges-iMac.local,Apple M1,8
8,2,0.4,CG_heur_IPverify,56,28,2,2,0.135008,0.0857380053228609,18,5,0.000670291,0.077180208,0.0154360416,0.0157715,0.075105457,0.0150210914,0.015383166,0.0111908912658691,ok,Haoges-iMac.local,Apple M1,8
8,2,0.3,CG_IP,56,28,2,2,0.427725792,0.191281820831838,24,24,0.000936125,0.366037417,0.0152515590416667,0.017533375,0.353556834,0.01473153475,0.015199458,0.0579521656036377,ok,Haoges-iMac.local,Apple M1,8
8,2,0.3,CG_heur_IPverify,56,28,2,2,0.126822583,0.191281694479869,17,6,0.00056225,0.089651789,0.0149419648333333,0.015341708,0.086983209,0.0144972015,0.0149645,0.0130317211151123,ok,Haoges-iMac.local,Apple M1,8
8,2,0.2,CG_IP,56,28,2,2,0.384187,0.358511699841313,22,22,0.000570542,0.333475669,0.0151579849545455,0.015415375,0.325131127,0.0147786875909091,0.015020042,0.0511682033538818,ok,Haoges-iMac.local,Apple M1,8
8,2,0.2,CG_heur_IPverify,56,28,2,2,0.115711625,0.35850552437013,11,6,0.000588458,0.088944042,0.014824007,0.015336709,0.0865855,0.0144309166666667,0.014939625,0.0149550437927246,ok,Haoges-iMac.local,Apple M1,8
8,2,0.1,CG_IP,56,28,2,2,0.358083833,0.588792707637908,20,20,0.00062825,0.304940291,0.01524701455,0.016933291,0.296065418,0.0148032709,0.016241292,0.0487346649169922,ok,Haoges-iMac.local,Apple M1,8
