choice_probability,set_alt1,set_alt2,alt
0.254421125859879,1,6,1
0.745578874140121,1,6,6
0.316096471018209,1,7,1
0.683903528981791,1,7,7
0.0825000496971554,4,8,4
0.917499950302845,4,8,8
0.543202515280406,8,3,8
0.456797484719594,8,3,3
0.910153075780157,6,4,6
0.0898469242198434,6,4,4
0.411952983386359,1,5,1
0.588047016613641,1,5,5
0.896747269740863,7,6,7
0.103252730259137,7,6,6
0.445061412489683,4,2,4
0.554938587510317,4,2,2
0.670145164702382,5,4,5
0.329854835297618,5,4,4
0.199161476622702,6,5,6
0.800838523377298,6,5,5
0.144478378422829,7,3,7
0.855521621577171,7,3,3
0.24534325296336,3,4,3
0.75465674703664,3,4,4
0.998698245896687,2,8,2
0.00130175410331301,2,8,8
0.569624398943059,4,1,4
0.430375601056941,4,1,1
0.885899495547873,6,8,6
0.114100504452127,6,8,8
0.828961278939142,5,8,5
0.171038721060858,5,8,8
0.486906176232086,7,5,7
0.513093823767914,7,5,5
0.355112470400764,2,3,2
0.644887529599236,2,3,3
0.502436477643156,5,2,5
0.497563522356844,5,2,2
0.826578401345591,6,2,6
0.173421598654409,6,2,2
0.327534977698757,3,5,3
0.672465022301243,3,5,5
0.850485690053332,8,1,8
0.149514309946668,8,1,1
0.479387210091795,1,2,1
0.520612789908205,1,2,2
0.537044904163561,1,3,1
0.462955095836439,1,3,3
0.617451076251459,7,2,7
0.382548923748541,7,2,2
