choice_probability,set_alt1,set_alt2,alt
0.131645558987428,4,3,4
0.868354441012572,4,3,3
0.912025118323742,3,5,3
0.0879748816762576,3,5,5
0.831221438128269,3,7,3
0.168778561871731,3,7,7
0.572529299067421,7,4,7
0.427470700932579,7,4,4
0.118250890241116,4,6,4
0.881749109758884,4,6,6
0.545570821201366,1,2,1
0.454429178798634,1,2,2
0.17250923585311,3,9,3
0.82749076414689,3,9,9
0.146119996897911,2,8,2
0.853880003102089,2,8,8
0.611145391755165,4,5,4
0.388854608244835,4,5,5
0.809279445610404,9,6,9
0.190720554389596,9,6,6
0.192006396674284,2,3,2
0.807993603325716,2,3,3
0.87243317295492,8,7,8
0.12756682704508,8,7,7
0.170431540102287,1,8,1
0.829568459897713,1,8,8
0.610511161562073,2,4,2
0.389488838437927,2,4,4
0.584208437965489,1,7,1
0.415791562034511,1,7,7
0.677937076096469,7,5,7
0.322062923903531,7,5,5
0.288723709718163,5,2,5
0.711276290281837,5,2,2
0.901572822525651,8,4,8
0.0984271774743491,8,4,4
0.530614700653776,6,3,6
0.469385299346224,6,3,3
0.94386279768364,9,1,9
0.0561372023163604,9,1,1
0.201515848171377,1,6,1
0.798484151828623,1,6,6
0.347000098887726,4,1,4
0.652999901112274,4,1,1
0.0406110712043303,7,9,7
0.95938892879567,7,9,9
0.460760058345152,7,2,7
0.539239941654848,7,2,2
0.0197130716172682,5,9,5
0.980286928382732,5,9,9
0.847731796106644,6,7,6
0.152268203893356,6,7,7
0.969363096980698,9,4,9
0.0306369030193019,9,4,4
0.952798268483232,9,2,9
0.0472017315167684,9,2,2
0.775496144900992,9,8,9
0.224503855099008,9,8,8
0.448749414154748,6,8,6
0.551250585845252,6,8,8
0.418645302528039,3,8,3
0.581354697471961,3,8,8
0.747322205038922,1,5,1
0.252677794961078,1,5,5
0.0786213075765581,5,6,5
0.921378692423442,5,6,6
0.173698649984469,2,6,2
0.826301350015531,2,6,6
0.221967916831353,1,3,1
0.778032083168647,1,3,3
0.935048236948523,8,5,8
0.0649517630514773,8,5,5
